,property_type,area_sqft,non_landed,bedrooms,price,state,area,median_psf,median_price,nearby_poi_education,nearby_poi_transportation,nearby_poi_healthcare
36,Terrace House,0.19074918566775242,0,0.42857142857142855,3150000,Kuala Lumpur,Desa Parkcity,0.9999999999999999,0.4335664335664336,0.3235294117647059,0.14285714285714285,0.13333333333333333
37,Semi-Detached House,0.774201954397394,0,1.0,4500000,Kuala Lumpur,Desa Parkcity,0.40886998784933165,0.6223776223776224,0.2450980392156863,0.11904761904761904,0.06666666666666667
38,Condominium/Apartment,0.1080130293159609,1,0.42857142857142855,600000,Kuala Lumpur,Taman Desa,0.27278250303766705,0.07692307692307693,0.29411764705882354,0.3571428571428571,0.26666666666666666
39,Hotel/Service Apartment,0.10657980456026059,1,0.42857142857142855,680000,Kuala Lumpur,Jalan Ipoh,0.31470230862697446,0.08811188811188812,0.3431372549019608,0.21428571428571427,0.2
40,Hotel/Service Apartment,0.11504885993485342,1,0.42857142857142855,590000,Kuala Lumpur,Kepong,0.25577156743620894,0.07552447552447553,0.3333333333333333,0.16666666666666666,0.26666666666666666
41,Terrace House,0.1472312703583062,0,0.42857142857142855,802000,Kuala Lumpur,Kuchai Lama,0.2946537059538274,0.10517482517482518,0.27450980392156865,0.21428571428571427,0.13333333333333333
42,Condominium/Apartment,0.18514657980456026,1,0.42857142857142855,830000,Kuala Lumpur,Dutamas,0.2539489671931956,0.1090909090909091,0.37254901960784315,0.11904761904761904,0.13333333333333333
43,Hotel/Service Apartment,0.04625407166123779,1,0.0,560000,Kuala Lumpur,Cheras,0.4234507897934386,0.07132867132867134,0.47058823529411764,0.23809523809523808,0.4666666666666667
44,Condominium/Apartment,0.06736156351791531,1,0.42857142857142855,350000,Kuala Lumpur,Bukit Jalil,0.2077764277035237,0.04195804195804196,0.29411764705882354,0.14285714285714285,0.06666666666666667
45,Condominium/Apartment,0.05889250814332247,1,0.42857142857142855,355000,Kuala Lumpur,Pudu,0.22843256379100849,0.04265734265734266,0.872549019607843,0.9285714285714285,0.4666666666666667
46,Hotel/Service Apartment,0.1332899022801303,1,0.42857142857142855,820000,Kuala Lumpur,Mont Kiara,0.32624544349939244,0.1076923076923077,0.303921568627451,0.07142857142857142,0.2
47,Semi-Detached House,0.726514657980456,0,0.7142857142857142,3700000,Kuala Lumpur,Kampung Sungai Penchala,0.3535844471445929,0.5104895104895105,0.303921568627451,0.047619047619047616,0.2
48,Condominium/Apartment,0.05055374592833876,1,0.42857142857142855,430000,Kuala Lumpur,Cheras,0.3061968408262454,0.05314685314685315,0.43137254901960786,0.26190476190476186,0.4666666666666667
49,Condominium/Apartment,0.08416938110749186,1,0.42857142857142855,120000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road),0.0473876063183475,0.009790209790209791,0.3235294117647059,0.19047619047619047,0.13333333333333333
