,project_id,latitude,longitude,project_name,state,area,street_name,median_psf,median_price
112,11773,3.1023400000000003,101.606003,SS 5 Kelana Jaya,Selangor,Kelana Jaya,JALAN SS 5A/15,408,645000
113,9072,3.1520716,101.5982568,Sunway Damansara,Selangor,Sunway Damansara,JALAN PJU 3/30,460,980000
114,12101,3.1253,101.59700000000001,Taman Bukit Mayang Emas,Selangor,Tropicana,JALAN BM 1/1,583,715000
115,12610,2.97064,101.611,Taman Meranti Jaya,Selangor,Puchong,JALAN MERANTI JAYA 1/11,493,690000
116,22811,2.9082036,101.4681815,Taman Panglima,Selangor,Telok Panglima Garang,JALAN TOMBAK,36,50000
117,13999,3.049067,101.558453,Taman Pinggiran USJ ,Selangor,USJ,JALAN PINGGIRAN USJ 3/3,189,265000
118,23571,2.8289684,101.6163478,Taman Sri Dagang,Selangor,Banting,JALAN SD1 1/25,368,440000
119,13079,2.8084599999999997,101.487999,Taman Sri Putra,Selangor,Banting,JALAN TOMAN 6,193,270000
120,16049,2.6577072,101.5583245,Taman Tanjung Tanjung Sepat,Selangor,Tanjong Sepat,JALAN TAMAN TANJUNG,119,100000
121,13218,3.0084,101.691002,Taman Universiti Indah,Selangor,Seri Kembangan,JALAN INDAH 1/28,303,600000
122,15566,2.875126,101.49971500000001,Tamera Residence,Selangor,Jenjarom,JALAN 3/10,383,535700
123,21820,3.111307,101.460497,Trefoil,Selangor,Setia Alam/Alam Nusantara,JALAN SETIA DAGANG AH U13/AH,671,325000
124,13538,3.13079,101.625999,Tropicana City Tropics,Selangor,Petaling Jaya,JALAN SS 20/27,761,475000
125,13580,3.02094,101.71399699999999,Univ 360 Place,Selangor,Seri Kembangan,JALAN RAYA 2,555,502000
126,13592,3.04615,101.58000200000001,USJ 11,Selangor,USJ,JALAN USJ 11/7,330,1100000
127,13600,3.0606400000000002,101.585999,USJ 2,Selangor,USJ,JALAN USJ 2/4E,432,675000
128,13603,3.02468,101.584999,USJ 22,Selangor,USJ,JALAN USJ 22/2B,343,850000
129,13606,3.05605,101.571999,USJ 3,Selangor,USJ,JALAN USJ 3/4B,619,740000
130,13632,3.080259,101.774374,Venice Hill,Selangor,Batu 9th Cheras,PERSIARAN PUTERI 1,78,120000
131,28198,2.8994556,101.66144770000001,PPA1M Larai,Putrajaya,Putrajaya,PRESINT 6,216,260000
