,name,category,latitude,longitude
4641,Sekolah Menengah Kebangsaan Puchong,education,3.000541,101.62145799999999
4642,Sekolah Jenis Kebangsaan (Cina) Han Ming,education,2.996667,101.62286
4644,Sekolah Kebangsaan Puchong,education,2.996286,101.624551
4647,Sekolah Jenis Kebangsaan (Cina) Kheng Chee,education,3.021995,101.628867
4648,Sekolah Kebangsaan Pusat Bandar Puchong (1),education,3.027503,101.621937
4649,Sekolah Jenis Kebangsaan (Tamil) Castlefield,education,3.028473,101.614173
4650,Sekolah Menengah Kebangsaan Pusat Bandar Puchong 1,education,3.028393,101.622647
4652,Sekolah Kebangsaan Pusat Bandar Puchong 2,education,3.027874,101.62801800000001
4653,Inspiros International School,education,3.0319394,101.61764140000001
4657,Kpmc Puchong Medical Centre,healthcare,3.024655,101.61575570000001
4658,Columbia Hospital,healthcare,3.0238484,101.6223925
4661,Bandar Puteri,transportation,3.016886,101.612584
4662,Taman Perindustrian Puchong,transportation,3.022554,101.613499
4664,Pusat Bandar Puchong,transportation,3.033435,101.616162
4665,Sekolah Menengah Kebangsaan Seri Puteri,education,2.911382,101.663246
4667,Heriot-Watt University Malaysia,education,2.899581,101.672558
4669,Sekolah Kebangsaan Putrajaya Presint 8(2),education,2.9306200000000002,101.681
4670,Sekolah Kebangsaan Putrajaya Presint 18(2),education,2.91545,101.69200000000001
4671,Sekolah Menengah Kebangsaan Putrajaya Presint 5(1),education,2.88948,101.677
4672,Sekolah Kebangsaan Putrajaya Presint 5(1),education,2.88968,101.678
4673,Sekolah Menengah Kebangsaan Putrajaya Presint 9(2),education,2.93661,101.676
4674,Sekolah Kebangsaan Putrajaya Presint 9 (2),education,2.93722,101.67399999999999
4676,Klinik Kesihatan Putrajaya Presint 13,healthcare,2.9161490000000003,101.683791
4677,Putrajaya/Cyberjaya,transportation,2.9311111,101.6708333
4678,Putrajaya Sentral,transportation,2.931483,101.67136500000001
4689,Sekolah Menengah Kebangsaan Bandar Puchong Jaya (A),education,3.063752,101.622968
4693,Sekolah Kebangsaan Puchong Jaya 2,education,3.063963,101.62389499999999
4694,Kolej Tingkatan Enam Petaling Jaya,education,3.07585,101.623715
4701,Sekolah Kebangsaan Puchong Jaya,education,3.05715,101.626266
4702,Sekolah Kebangsaan Sungei Way,education,3.085003,101.616104
4706,Sekolah Menengah Kebangsaan Batu 8,education,3.06073,101.629574
4712,Arte Academy,education,3.0464689999999996,101.621062
4714,Sekolah Jenis Kebangsaan (Cina) Sungai Way,education,3.087843,101.620993
4716,Cherie Hearts International Preschool - Bandar Puteri Puchong,education,3.045935,101.621809
4717,Cherie Hearts International Preschool - Seri Kembangan,education,3.045935,101.621809
4719,Binary University of Management and Entrepreneurship,education,3.043592,101.619498
4729,Sunway-Setia Jaya,transportation,3.082933,101.61261
4730,Seri Setia,transportation,3.0844443999999998,101.6216667
4733,Ioi Puchong Jaya,transportation,3.04806,101.62066899999999
4736,Portman College,education,3.025368,101.717004
4737,Universiti Putra Malaysia (Upm),education,3.021998,101.705541
4738,Sekolah Jenis Kebangsaan (Cina) Serdang Baru (1),education,3.0254529999999997,101.700773
4739,Sekolah Kebangsaan Taman Sungai Besi Indah,education,3.026011,101.722598
4740,Sekolah Menengah Kebangsaan Seri Kembangan,education,3.027883,101.69773599999999
4741,Australian International School Malaysia (AISM),education,3.0205,101.7234
4742,Sekolah Jenis Kebangsaan (Cina) Serdang Baru (2),education,3.012936,101.70935
4743,Sekolah Jenis Kebangsaan (Cina) Kung Man,education,3.015323,101.720713
4744,Sekolah Kebangsaan Sri Serdang,education,3.013461,101.71819
4745,Sekolah Menengah Kebangsaan Seri Indah,education,3.012343,101.716216
4746,Brainy Bunch - Sri Serdang,education,3.008343,101.714735
4747,Sekolah Menengah Kebangsaan Seri Serdang,education,3.006869,101.714203
4751,Serdang Raya North,transportation,3.0285849999999996,101.70786700000001
4752,Serdang,transportation,3.0230556,101.7158333
4753,Seri Kembangan,transportation,3.02203,101.708952
4754,Upm,transportation,3.008492,101.705127
