project_id,project_name,transacted_price,unit_price_psf,date,property_type,tenure,floor,area_sqft,non_landed,bedrooms,street_name,psf,price,state,planning_region
12065,Taman Bukit Desa,2050000,683,1575504000,Terrace House,Leasehold,None,3003,0,4,JALAN TAMAN BUKIT DESA,683,2050000,Kuala Lumpur,Kepong
16992,Taman Bukit Mewah,700000,489,1575244800,Terrace House,Leasehold,None,1432,0,3,JALAN LANCANG,489,700000,Kuala Lumpur,Cheras
12190,Taman Continental,680000,402,1575849600,Terrace House,Leasehold,None,1690,0,3,JALAN RUKUN 6,402,680000,Kuala Lumpur,Kuchai Lama
16961,Taman Desa,1420000,532,1577318400,Terrace House,Leasehold,None,2669,0,3,JALAN DESA UTAMA,532,1420000,Kuala Lumpur,Taman Desa
16976,Taman Lian Hoe,750000,326,1576108800,Semi-Detached House,Leasehold,None,2303,0,3,JALAN KUCHAI 6,326,750000,Kuala Lumpur,Kuchai Lama
12560,Taman Maluri,580000,352,1575504000,Terrace House,Leasehold,None,1647,0,4,JALAN PRIA,352,580000,Kuala Lumpur,Cheras
17248,Taman Megah Kepong,915000,654,1576627200,Terrace House,Leasehold,None,1399,0,3,JALAN 7/39,654,915000,Kuala Lumpur,Kepong
16978,Taman Melewar,425000,265,1577318400,Terrace House,Leasehold,None,1604,0,3,JALAN BATU GELIGA,265,425000,Kuala Lumpur,Gombak
22915,Taman Salak Selatan,600000,390,1575590400,Terrace House,Leasehold,None,1539,0,4,JALAN PERKASA 10,390,600000,Kuala Lumpur,Salak Selatan
12920,Taman Seputeh,1300000,542,1575417600,Terrace House,Leasehold,None,2400,0,3,JALAN SEPUTEH 2,542,1300000,Kuala Lumpur,Seputeh
13082,Taman Sri Rampai,470000,533,1576454400,Terrace House,Leasehold,None,883,0,3,JALAN 3/26,533,470000,Kuala Lumpur,Setapak
13092,Taman Sri Sinar,388000,644,1575331200,Terrace House,Leasehold,None,603,0,3,JALAN 27/38A,644,388000,Kuala Lumpur,Segambut
13154,Taman Tan Yew Lai,988000,363,1575936000,Semi-Detached House,Leasehold,None,2723,0,7,JALAN BUKIT TINGGI,363,988000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road)
13169,Taman Taynton View,580000,352,1575590400,Terrace House,Leasehold,None,1647,0,3,JALAN MAHADEVI,352,580000,Kuala Lumpur,Cheras
25349,Taman Teratai Mewah,240000,365,1575590400,Condominium/Apartment,Leasehold,7,657,1,2,OFF JALAN LANGKAWI,365,240000,Kuala Lumpur,Setapak
13228,Taman Wahyu,700000,425,1576627200,Terrace House,Leasehold,None,1647,0,3,JALAN SIBU 4,425,700000,Kuala Lumpur,Kepong
17004,Taman Yarl,2600000,501,1576108800,Semi-Detached House,Leasehold,None,5188,0,5,LORONG AWAN BIRU,501,2600000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road)
13334,The Elements,450000,450,1576195200,Hotel/Service Apartment,Leasehold,3A,1001,1,3,JALAN BEMBAN,450,450000,Kuala Lumpur,Ampang
13510,Tiffani Kiara,1360000,607,1575504000,Condominium/Apartment,Leasehold,33,2239,1,4,CHANGKAT DUTA KIARA,607,1360000,Kuala Lumpur,Mont Kiara
13520,Tivoli Villas,1497000,621,1575417600,Condominium/Apartment,Leasehold,8,2411,1,3,JALAN MEDANG TANDUK,621,1497000,Kuala Lumpur,Bangsar
13652,Villa Aman,1600000,551,1575936000,Condominium/Apartment,Leasehold,2,2906,1,5,JALAN RITCHIE,551,1600000,Kuala Lumpur,Ampang Hilir
10138,Villa Bahagia,1300000,694,1576022400,Condominium/Apartment,Leasehold,23,1873,1,4,CHANGKAT DUTA KIARA,694,1300000,Kuala Lumpur,Salak Selatan
13690,Villa Mont Kiara,7200000,1376,1576540800,Detached House,Leasehold,None,5231,0,7,JALAN BUKIT KIARA,1376,7200000,Kuala Lumpur,Mont Kiara
13230,Wangsa Melawati,450000,510,1575936000,Terrace House,Leasehold,None,883,0,2,LORONG WANGSA CERIA 1C,510,450000,Kuala Lumpur,Wangsa Maju
15138,West Court Taman Sri Sentosa,350000,378,1576540800,Hotel/Service Apartment,Leasehold,None,926,1,3,JALAN KELANG LAMA,378,350000,Kuala Lumpur,Jalan Klang Lama (Old Klang Road)
28340,Serenia City,611888,406,1577145600,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,599888,398,1577145600,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,398,599888,Selangor,Dengkil
28340,Serenia City,611888,406,1577145600,Terrace House,Leasehold,None,1507,0,4,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,611888,406,1577145600,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,611888,406,1577145600,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/10 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,611888,406,1577145600,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/12 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,655888,393,1577145600,Terrace House,Leasehold,None,1668,0,3,JALAN AMAN SERENIA 2/2 BANDAR SERENIA,393,655888,Selangor,Dengkil
28340,Serenia City,611888,406,1577059200,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/12 BANDAR SERENIA,406,611888,Selangor,Dengkil
28340,Serenia City,713888,249,1576281600,Terrace House,Leasehold,None,2863,0,4,JALAN AMAN SERENIA 5/7 BANDAR SERENIA,249,713888,Selangor,Dengkil
28340,Serenia City,599888,398,1575331200,Terrace House,Leasehold,None,1507,0,3,JALAN AMAN SERENIA 7/9 BANDAR SERENIA,398,599888,Selangor,Dengkil
11518,Setia Ecohill,470000,361,1576454400,Terrace House,Leasehold,None,1302,0,4,JALAN ECOHILL 1/3B,361,470000,Selangor,Semenyih
11518,Setia Ecohill,1280000,271,1575849600,Semi-Detached House,Leasehold,None,4715,0,4,JALAN ECOHILL 3/1C,271,1280000,Selangor,Semenyih
11518,Setia Ecohill,1338000,284,1575849600,Semi-Detached House,Leasehold,None,4715,0,4,JALAN ECOHILL 3/1B,284,1338000,Selangor,Semenyih
28534,Taman Villa Perdana,1560000,434,1576713600,Semi-Detached House,Leasehold,None,3595,0,6,JALAN VILLA PERDANA 6,434,1560000,Selangor,Telok Panglima Garang
28534,Taman Villa Perdana,1560000,434,1576713600,Semi-Detached House,Leasehold,None,3595,0,6,JALAN VILLA PERDANA 6,434,1560000,Selangor,Telok Panglima Garang
28534,Taman Villa Perdana,1625000,402,1576713600,Semi-Detached House,Leasehold,None,4047,0,6,JALAN VILLA PERDANA 6,402,1625000,Selangor,Telok Panglima Garang
28428,Jenderam Impian,550000,429,1575244800,Terrace House,Leasehold,None,1281,0,4,JALAN KAJANG-DENGKIL,429,550000,Selangor,Dengkil
28428,Jenderam Impian,550000,429,1575244800,Terrace House,Leasehold,None,1281,0,4,JALAN KAJANG-DENGKIL,429,550000,Selangor,Dengkil
12792,Puncak Utama,380000,265,1576454400,Terrace House,Leasehold,None,1432,0,3,JALAN PUNCAK 1/11,265,380000,Selangor,Kajang
12792,Puncak Utama,505000,340,1576454400,Terrace House,Leasehold,None,1485,0,4,JALAN PUNCAK UTAMA 2/3A,340,505000,Selangor,Kajang
11769,SS 19 Subang Jaya,3000000,371,1575331200,Detached House,Leasehold,None,8084,0,5,JALAN SS 19/4E,371,3000000,Selangor,Subang Jaya
11769,SS 19 Subang Jaya,390000,541,1575244800,Terrace House,Leasehold,None,721,0,3,JALAN SS 19/6,541,390000,Selangor,Subang Jaya
15193,Strand Residensi,485000,617,1575331200,Hotel/Service Apartment,Leasehold,9,786,1,2,JALAN PJU 5/23,617,485000,Selangor,Kota Damansara
