project_id,asset_id,latitude,longitude,project_name,state,area,street_name,transaction_count,median_psf,median_price
8646,3045.0,5.4354343,100.3990743,Taman Cengkeh Indah,Penang,Bagan Lalang,LORONG CENGKEH INDAH 1,8,321.0,1198750
17880,267917.0,5.4024415,100.299565,Taman Cheeseman,Penang,Greenlane,LENGKOK ARIFF,8,234.0,1163500
17566,267644.0,5.4780258,100.4987689,Taman Haji Ahmad Jamil,Penang,Tasek Gelugor,LORONG HJ. AHMAD JAMIL 6,8,183.0,303750
17883,267920.0,5.4392986,100.3807541,Taman Intan,Penang,Bagan Ajam,JALAN INTAN 1,8,106.0,263750
17490,267585.0,5.3335284,100.5117188,Taman Jambu,Penang,Bukit Mertajam,LORONG JAMBU 5,8,162.0,184500
17627,267693.0,5.408738,100.3993689,Taman Kerapu,Penang,Butterworth,LORONG KERAPU 7,8,153.0,216250
12537,265143.0,5.398930073,100.3779984,Taman Limbungan Indah,Penang,Butterworth,LORONG LIMBUNGAN INDAH 4,8,292.0,441875
12565,265153.0,5.361549854,100.454526,Taman Manggis Indah,Penang,Bukit Mertajam,LORONG MANGGIS INDAH 6,8,250.0,446000
17499,267592.0,5.390024,100.41459,Taman Naluri Ria,Penang,Permatang Pauh,LORONG NALURI RIA 1,8,307.0,470000
16463,10796.0,5.404931829,100.3183079,Taman Nusantara Flat,Penang,Sungai Pinang,JALAN MAKLOOM,8,243.0,156750
16466,10799.0,5.439765,100.379094,Taman Pantai Intan,Penang,Bagan Ajam,JALAN PANTAI BERSIH,8,191.0,133975
17866,268221.0,5.370095,100.451534,Taman Riang,Penang,Bukit Mertajam,JALAN KAMPONG GAJAH,8,286.0,535375
23011,,5.4399303,100.3935599,Taman Segemal,Penang,Butterworth,JALAN KAMPUNG BARU,8,253.0,352625
17799,267845.0,5.3375981,100.4965836,Taman Sri Remia,Penang,Bukit Mertajam,LORONG SERI REMIA 1,8,180.0,632500
17466,267574.0,5.422744,100.389088,Taman Sukaria,Penang,Butterworth,LENGKOK MAK MANDIN,8,120.0,110750
17465,267573.0,5.477318,100.3811935,Taman Teluk Molek,Penang,Air Tawar,JALAN TELOK AIR TAWAR,8,168.0,527436
13366,7703.0,5.449475,100.298986,The Latitude,Penang,Tanjung Tokong,PERSIARAN HALIA 3,8,534.0,798250
17819,267360.0,5.4268812,100.386259,Villa Tanjung (Tanjung Heights),Penang,Raja Uda,JALAN VILLA TANJUNG,8,319.0,417875
13731,8064.0,5.374790192,100.2990036,Vista Gambier,Penang,Gelugor,JALAN BUKIT JAMBUL,8,643.0,1101500
8645,264029.0,5.451720238,100.2910004,Alila Homes,Penang,Tanjung Bungah,SOLOK KEJORA 2,7,886.0,910715
14311,8644.0,5.3941453,100.3145647,Aspen Residence,Penang,Jelutong,JALAN PERAK,7,594.0,705429
27969,,5.3532338,100.4563771,Bukit Residence,Penang,Bukit Mertajam,JALAN RESIDENSI BUKIT KECIL 1,7,425.0,639000
9126,264199.0,5.328440189,100.439003,Carnation Villa,Penang,Bukit Minyak,LORONG CARNATION 7,7,291.0,739972
9145,264203.0,5.455800056,100.2910004,Casa Permai,Penang,Tanjung Bungah,LORONG LEMBAH PERMAI 2,7,413.0,1526401
17537,267622.0,5.3501804,100.312028,D'Residence,Penang,Batu Uban,JALAN BAYAN MUTIARA 8,7,718.0,3260000
12875,265275.0,5.426576,100.395394,"Delink, Taman Segar Jaya",Penang,Butterworth,LORONG SEGAR JAYA 2,7,319.0,605143
9499,264284.0,5.28470993,100.2440033,Desa Pantai Indah,Penang,Teluk Kumbar,LORONG SUNGAI BATU 2,7,454.0,624000
17986,268008.0,5.319544,100.262881,Desaria Suria,Penang,Sungai Ara,CANGKAT KENARI 2,7,440.0,860715
9546,3890.0,5.464079857,100.2979965,Diamond Villa,Penang,Tanjung Tokong,JALAN TANJUNG BUNGAH,7,570.0,1155715
17306,267263.0,5.297161,100.424243,Flat Taman Bukit Juru,Penang,Juru,LORONG BUKIT JURU 10,7,113.0,71286
17407,268334.0,5.3916357,100.2953703,Greenlane Heights (Kingfisher Series),Penang,Greenlane,JALAN GANGSA,7,531.0,371429
17406,268333.0,5.391065,100.295065,Greenlane Heights Block J (Jay Series),Penang,Greenlane,JALAN GANGSA,7,605.0,422858
15192,289220.0,5.400473,100.30597,Halaman Hargreaves,Penang,Jelutong,JALAN HARGREAVES,7,229.0,2242858
17185,265693.0,5.460979939,100.2860031,Hillview Garden,Penang,Tanjung Bungah,LORONG SUNGAI KELIAN 2,7,774.0,1439286
9950,268412.0,5.47678,100.265908,Island Resort ,Penang,Batu Ferringhi,JALAN PANTAI MIAMI,7,539.0,618572
27902,416986.0,5.3939953,100.3135959,Jalan Jelutong,Penang,Jelutong,JALAN JELUTONG,7,643.0,447858
15722,10055.0,5.41925,100.328596,Kedah Road Flat,Penang,Georgetown,JALAN KEDAH,7,297.0,162715
10199,4541.0,5.332859993,100.2939987,Krystal Suria,Penang,Bukit Jambul,MEDAN KAMPUNG RELAU 1,7,440.0,417143
10235,4577.0,5.345578,100.276232,Lakeside Towers,Penang,Bukit Jambul,TINGKAT BUKIT JAMBUL 1,7,350.0,366743
28670,,5.3188793,100.4758797,Mahkota Impian,Penang,Alma,JALAN ROZHAN,7,366.0,391143
15822,10155.0,5.39303,100.316966,Medan Tengku Flat,Penang,Jelutong,JALAN TENGKU,7,240.0,135143
14479,8812.0,5.412696,100.29846,Menara Kuda Lari,Penang,Ayer Itam,JALAN LAHAT,7,517.0,411429
10555,4896.0,5.302360058,100.2580032,Meridien Residence,Penang,Bayan Lepas,TINGKAT KELICAP,7,433.0,703000
10583,264497.0,5.360070229,100.2949982,Minden Gardens Residence,Penang,Gelugor,SOLOK MINDEN 2,7,934.0,1480715
10609,264504.0,5.47781992,100.2600021,Moonlight Bay,Penang,Batu Ferringhi,JALAN MOONLIGHT BAY,7,608.0,2922858
17410,267528.0,5.34354,100.225082,Orchardia,Penang,Balik Pulau,LEBUH ORKARDIA 1,7,378.0,562572
15934,10267.0,5.3915829,100.4066035,Pangsapuri Desa Sri Jaya,Penang,Seberang Jaya,JALAN KELISA EMAS,7,226.0,213572
14763,9096.0,5.292819977,100.2549973,Pavilion Resort,Penang,Bayan Lepas,JALAN TELUK KUMBAR,7,522.0,583307
10983,5322.0,5.376959801,100.3130035,Platino,Penang,Gelugor,PERSIARAN TUNKU KUDIN,7,587.0,1428572
14942,9275.0,5.450588,100.304214,Seri Taman Tanjung,Penang,Tanjung Tokong,PERSIARAN LENGKUAS,7,399.0,227143
15022,9355.0,5.403628,100.313534,Sri Permai,Penang,Georgetown,JALAN FREE SCHOOL,7,464.0,470715
11830,6167.0,5.338970184,100.3089981,Summerton Condominium,Penang,Sungai Nibong,PERSIARAN BAYAN INDAH,7,524.0,963572
17481,289450.0,5.344621,100.304355,Taman Batu Uban 2 Apartment,Penang,Sungai Nibong,LINTANG PANTAI JERJAK,7,336.0,230715
17596,267667.0,5.5095095,100.4346322,Taman Bertam Ria,Penang,Kepala Batas,LORONG BERTAM RIA 8,7,244.0,540858
17553,267636.0,5.3542383,100.4817966,Taman Bukit Indah,Penang,Bukit Mertajam,TINGKAT INDAH 2,7,279.0,399286
17436,267552.0,5.314204,100.425827,Taman Cendana Emas ,Penang,Juru,OFF JALAN JURU,7,254.0,409715
17458,267568.0,5.3099164,100.4280879,Taman Cendana Indah,Penang,Juru,LORONG CENDANA INDAH 1,7,141.0,700000
17422,267539.0,5.3087935,100.4892047,Taman Desa Impian,Penang,Alma,LORONG DESA IMPIAN 5,7,169.0,498215
12300,6637.0,5.448800087,100.3000031,Taman Evergreen,Penang,Tanjung Tokong,EVERGREEN ROAD 4,7,555.0,640715
27983,,5.237076,100.4955151,Taman Gamelan Ria,Penang,Valdor,LORONG GAMELAN RIA 1,7,250.0,459286
17483,267582.0,5.42537,100.469196,Taman Guar Perahu Indah,Penang,Kubang Semang,LORONG GUAR PERAHU INDAH 7,7,117.0,102143
15111,263911.0,5.409417,100.307118,Taman Kampar Apartment,Penang,Georgetown,JALAN KAMPAR,7,404.0,340143
17540,309527.0,5.3440076,100.4673114,Taman Keenways,Penang,Bukit Mertajam,LORONG MESRA,7,324.0,426286
22959,,5.3912914,100.4081861,Taman Kelisa Emas,Penang,Seberang Jaya,LORONG KELISA EMAS 4,7,287.0,381429
17681,267737.0,5.2216788,100.5044984,Taman Kesumba,Penang,Sungai Bakap,LORONG KESUMBA 5,7,79.0,89286
17550,267633.0,5.2345,100.50221,Taman Ketitir,Penang,Sungai Bakap,JALAN KETITIR 1,7,162.0,288286
16437,10770.0,5.3956045,100.310679,Taman Koperasi Jelutong,Penang,Jelutong,JALAN KURAU,7,238.0,138143
17740,267792.0,5.4920904,100.450469,Taman Koskam,Penang,Kepala Batas,SOLOK TEMENGGUNG,7,131.0,153715
17419,267295.0,5.3935469,100.2001924,Taman Kuala Sungai Pinang,Penang,Balik Pulau,SOLOK NELAYAN 1,7,50.0,114715
17587,267658.0,5.379981,100.276406,Taman Lau Geok Swee,Penang,Ayer Itam,LEBUH RAMBAI 10,7,544.0,949572
