,project_id,latitude,longitude,township,state,area,median_psf,median_price,poi_nearby_education,poi_nearby_transportation,poi_nearby_healthcare,nearest_school,nearest_train_station,nearest_hospital,total_poi_nearby,nearest_poi,transaction_count
6371,28362,3.7457624,100.9756779,Taman Orkid,Selangor,Sabak Bernam,145.0,336500.0,7,0,2,1746.7325501399048,60631.50056284268,2160.075675907648,9,1746.7325501399048,2
6372,28585,3.4318475,101.1654538,Taman Padi Sutera,Selangor,Tanjong Karang,155.0,228000.0,6,0,1,706.2489054258356,47156.93284384596,1696.0622345577883,7,706.2489054258356,2
6373,28498,0.0,0.0,Taman Panglima Putih,Selangor,Kuala Selangor,80.5,105000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6374,28256,0.0,0.0,Taman Perepat Makmur,Selangor,Klang,115.0,310000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6375,28568,3.5656289,101.6590962,Taman Persara,Selangor,Kuala Kubu Baru,34.5,320000.0,11,0,1,47.97189036033596,3118.847582643461,700.1946870539114,12,47.97189036033596,2
6376,28257,0.0,0.0,Taman Pesaka (Minah),Selangor,Klang,170.0,450000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,1
6377,29221,3.2558944,101.7002507,Taman Pinggiran Permata,Selangor,Batu Caves,481.0,646000.0,16,1,1,1399.3338781829816,2905.4228408406825,5888.716017166788,18,1399.3338781829816,2
6378,28499,3.7594578,100.9759988,Taman Platinum,Selangor,Sabak Bernam,182.0,485800.0,9,0,2,253.7730352673381,60783.70569348561,1453.4268872854311,11,253.7730352673381,2
6379,16803,3.0664878,101.7718236,Taman Prima Suria,Selangor,Batu 9th Cheras,256.5,262500.0,20,4,1,338.12653735116635,521.0750664174391,1590.7076497796065,25,338.12653735116635,2
6380,27610,0.0,0.0,Taman Rasa,Selangor,Rasa,102.5,154000.0,0,0,0,11148747.730357049,11166707.407256505,11152762.883457733,0,11148747.730357049,2
6381,28505,2.9780176,101.7890724,Taman Reko Jaya,Selangor,Kajang,301.0,865000.0,29,4,4,682.426898170905,565.2572826579251,691.569390161952,37,565.2572826579251,2
